monthly_income,rent,food,emi,transport,subscriptions,savings,emergency_fund_months,dependents,health_label
2566,577,472,126,136,122,180,5,4,Stable
1321,449,251,152,50,51,423,9,0,Stable
10568,3132,2297,2700,1030,295,1243,9,4,Critical
8740,2357,980,2577,403,99,1556,6,2,At Risk
1772,321,366,396,168,79,146,2,0,Critical
11032,1998,1376,18,642,346,4107,10,2,Stable
3080,497,650,834,305,153,147,11,0,At Risk
2585,835,313,20,122,87,744,0,1,Stable
7590,2050,1706,2042,583,81,2660,5,2,At Risk
1390,405,280,171,121,26,362,9,4,Stable
1314,202,207,292,76,33,401,3,4,Stable
9144,3145,1406,238,368,274,2557,7,0,Stable
9412,2978,1151,465,346,437,3320,3,2,Stable
1452,279,342,196,66,68,418,8,2,Stable
1692,315,199,19,57,77,427,3,3,Stable
2714,506,463,317,246,61,225,3,4,At Risk
8642,1822,1170,1949,685,94,3401,0,2,At Risk
2897,738,722,569,219,58,692,1,4,Stable
3641,860,684,384,286,86,1074,11,3,Stable
1783,371,218,4,132,30,561,4,0,Stable
11918,3246,2385,964,387,583,4035,7,0,Stable
3388,602,842,788,238,152,1312,4,4,Stable
2828,589,539,288,166,65,461,1,1,Stable
2785,621,469,315,114,45,180,7,2,At Risk
1478,356,212,32,113,40,251,1,1,Stable
9095,2792,1035,1641,545,446,2405,0,0,Stable
1265,240,169,236,60,55,80,5,2,At Risk
2843,718,520,367,230,113,156,1,1,At Risk
1408,378,299,321,48,47,442,6,2,At Risk
1355,215,313,356,75,52,305,2,2,At Risk
6795,1844,1488,1529,336,134,2036,9,4,At Risk
2199,404,261,359,84,82,388,0,4,At Risk
1546,252,333,433,60,38,369,10,3,Stable
1574,534,294,180,70,18,608,3,3,Stable
7633,2619,1300,1499,239,314,2841,7,1,Stable
12189,3799,2266,2103,874,401,1891,1,3,At Risk
2458,518,248,620,161,36,22,10,0,At Risk
3064,519,337,459,275,46,248,10,1,At Risk
2135,612,381,354,182,44,778,11,1,Stable
4899,1166,617,666,482,210,1804,5,2,Stable
1952,340,354,82,61,81,145,3,3,Stable
2168,539,331,576,141,90,533,10,4,Stable
3241,508,765,837,135,46,868,8,4,Stable
1467,486,355,309,92,53,206,1,2,Critical
3206,646,791,334,137,93,599,5,1,Stable
2679,756,629,285,94,42,555,10,3,Stable
2461,522,610,26,216,110,819,6,0,Stable
7160,1818,1474,166,431,308,987,10,4,Stable
3460,897,844,533,269,88,812,1,0,Stable
1382,258,271,20,52,57,92,9,2,Stable
1578,542,349,46,110,51,108,5,1,At Risk
11622,3545,1392,875,1022,517,4644,3,0,Stable
5788,1955,1171,648,534,118,1746,9,1,At Risk
1335,439,319,195,68,27,463,10,1,At Risk
2221,598,402,216,208,59,858,6,3,Stable
2368,791,303,668,151,42,697,7,2,At Risk
2057,344,368,586,97,72,53,7,4,At Risk
1822,344,375,30,124,33,221,9,4,Stable
1722,273,371,509,134,37,556,9,1,Stable
9641,2073,1721,500,344,148,1493,0,0,Stable
3463,788,459,344,272,160,200,2,4,Stable
4063,829,971,1020,337,87,1119,8,2,At Risk
3967,1252,857,818,238,69,797,3,3,At Risk
5127,1134,720,89,475,142,26,8,0,Stable
3677,758,815,854,167,59,18,5,2,At Risk
3404,880,518,677,147,58,577,8,1,Stable
1334,237,195,380,98,43,532,1,3,At Risk
3271,1015,750,892,203,68,1149,4,3,Critical
3273,539,756,957,193,133,8,4,1,At Risk
3187,1107,509,434,235,90,437,0,0,At Risk
3275,997,331,694,181,86,1260,4,3,Stable
1960,371,250,565,190,56,252,8,3,At Risk
2688,406,635,1,250,110,297,9,0,Stable
2022,633,474,478,104,20,532,9,3,At Risk
3022,880,507,48,131,40,85,9,0,At Risk
2265,669,329,678,96,67,699,7,1,Stable
3020,918,439,12,255,100,912,9,3,Stable
1964,323,460,326,142,24,725,4,2,Stable
7337,1626,1091,1146,497,234,1844,6,1,Stable
1464,253,258,133,111,37,455,4,0,Stable
1418,457,297,311,115,43,390,8,2,At Risk
1474,404,193,113,67,21,470,5,1,Stable
8182,1768,1129,713,806,357,1004,4,3,Stable
1688,274,259,91,92,34,43,1,2,Stable
3083,654,610,660,109,57,900,2,3,At Risk
4013,862,893,204,354,194,931,11,4,Stable
2415,714,439,650,162,46,23,8,3,Critical
2305,639,276,199,72,109,50,1,0,Stable
7388,2419,1233,1149,536,149,2244,2,0,Stable
1546,377,184,220,113,49,530,8,1,Stable
3487,606,394,734,269,139,827,11,0,Stable
3138,918,591,220,224,60,996,4,2,Stable
1949,588,474,490,94,69,343,7,0,At Risk
3794,994,856,839,379,188,634,5,4,Critical
2338,711,505,240,146,97,339,3,4,At Risk
3216,800,672,116,183,144,197,5,1,At Risk
2236,569,524,338,67,53,800,6,2,Stable
2419,569,515,711,168,99,798,1,4,At Risk
3818,592,740,27,244,172,913,6,2,Stable
2842,487,439,720,273,37,631,9,4,Stable
2163,338,249,454,113,65,655,4,2,Stable
